Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
370,James McClean\James-McClean,ie IRL,MFFW,West Brom,28,1989,30,1406,47,41.1,15.6,14,,16,,8,0.93,8,21,-13,-0.83,-0.30,13.8,21.6,-7.8,-0.50,-0.27,Matches
371,Sam McQueen\Sam-McQueen,eng ENG,DFFW,Southampton,22,1995,7,148,21,4.3,1.6,1,,6,,10,0.86,1,2,-1,-0.61,-0.11,2.1,2.1,0.0,+0.01,+0.18,Matches
372,Scott McTominay\Scott-McTominay,sco SCO,MF,Manchester Utd,20,1996,13,634,49,18.5,7.0,7,,6,,10,2.38,8,3,+5,+0.71,-0.42,8.4,6.9,+1.5,+0.21,-0.30,Matches
373,Ben Mee\Ben-Mee,eng ENG,DF,Burnley,27,1989,29,2610,90,76.3,29.0,29,,0,,0,1.38,27,27,0,0.00,+0.33,26.9,38.4,-11.5,-0.39,-0.22,Matches
374,Max Melbourne\Max-Melbourne,eng ENG,DF,West Brom,18,1998,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
375,Benjamin Mendy\Benjamin-Mendy,fr FRA,DF,Manchester City,23,1994,7,363,52,10.6,4.0,4,,3,,1,2.71,14,1,+13,+3.22,+1.28,10.5,2.5,+8.0,+2.00,+0.53,Matches
376,Mikel Merino\Mikel-Merino,es ESP,MF,Newcastle Utd,21,1996,24,1347,56,39.4,15.0,14,,10,,7,0.92,14,18,-4,-0.27,-0.09,16.6,18.6,-2.0,-0.14,+0.22,Matches
377,Per Mertesacker\Per-Mertesacker,de GER,DF,Arsenal,32,1984,6,366,61,10.7,4.1,4,,2,,16,1.83,9,7,+2,+0.49,-0.13,6.6,5.2,+1.4,+0.34,+0.02,Matches
378,Roque Mesa\Roque-Mesa,es ESP,MF,Swansea City,28,1989,11,754,69,22.0,8.4,9,,2,,9,0.73,4,16,-12,-1.43,-0.89,5.6,13.5,-7.9,-0.94,-0.27,Matches
379,Simon Mignolet\Simon-Mignolet,be BEL,GK,Liverpool,29,1988,19,1710,90,50.0,19.0,19,,0,,18,1.95,44,24,+20,+1.05,-0.32,36.0,20.9,+15.1,+0.80,-0.36,Matches
