Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
375,Yoshinori MutÅ\Yoshinori-Muto,jp JPN,FWMF,Newcastle Utd,27,1992,7,201,29,7.7,2.2,2,68,5,13,3,0.57,1,6,-5,-2.24,-1.83,1.7,4.1,-2.4,-1.09,-0.42,Matches
376,Georges-KÃ©vin N'Koudou\Georges-Kevin-NKoudou,fr FRA,FW,Tottenham,24,1995,1,2,2,0.1,0.0,0,,1,2,0,3.00,1,0,+1,+45.00,+44.79,0.1,0.1,0.0,+1.13,+1.28,Matches
377,Marvelous Nakamba\Marvelous-Nakamba,zw ZIM,MF,Aston Villa,25,1994,21,1634,78,64.8,18.2,18,83,3,46,3,0.86,22,35,-13,-0.72,+0.20,20.3,36.9,-16.5,-0.91,+0.04,Matches
378,Wilfred Ndidi\Wilfred-Ndidi,ng NGA,MF,Leicester City,22,1996,23,1892,82,72.5,21.0,20,90,3,33,0,2.09,48,19,+29,+1.38,+1.25,35.5,25.8,+9.7,+0.46,+0.20,Matches
379,Tanguy Ndombele\Tanguy-Ndombele,fr FRA,MF,Tottenham,22,1996,19,944,50,36.2,10.5,12,67,7,20,2,1.11,16,16,0,0.00,-0.38,12.7,15.4,-2.7,-0.25,-0.17,Matches
380,Reiss Nelson\Reiss-Nelson,eng ENG,FW,Arsenal,19,1999,11,460,42,18.3,5.1,5,75,6,14,7,1.82,5,4,+1,+0.20,+0.06,6.0,6.8,-0.8,-0.16,0.00,Matches
381,Pedro Neto\Pedro-Neto,pt POR,FWMF,Wolves,19,2000,21,727,35,27.9,8.1,7,75,14,14,6,1.57,15,8,+7,+0.87,+0.87,12.3,7.0,+5.4,+0.66,+0.39,Matches
382,RÃºben Neves\Ruben-Neves,pt POR,MF,Wolves,22,1997,29,2281,79,87.4,25.3,26,85,3,24,0,1.48,38,29,+9,+0.36,+0.90,34.1,24.3,+9.8,+0.39,+0.05,Matches
383,Jeremy Ngakia\Jeremy-Ngakia,eng ENG,DF,West Ham,18,2000,4,360,90,13.8,4.0,4,90,0,,2,0.75,5,7,-2,-0.50,+0.02,5.7,7.5,-1.8,-0.45,+0.29,Matches
384,Oumar Niasse\Oumar-Niasse,sn SEN,FW,Everton,29,1990,3,19,6,0.7,0.2,0,,3,6,1,1.00,0,2,-2,-9.47,-9.23,0.2,0.9,-0.7,-3.42,-3.60,Matches
