Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off2,Matches
45,HÃ©ctor BellerÃ­n\Hector-Bellerin,es ESP,DF,Arsenal,23,1995,19,1533,81,44.8,17.0,18,84,1,21,0,1.95,36,21,+15,+0.88,+0.55,24.6,21.7,+2.9,+0.17,+0.27,Matches
46,Joe Bennett\Joe-Bennett,eng ENG,DF,Cardiff City,28,1990,30,2641,88,77.2,29.3,30,88,0,,7,0.83,25,50,-25,-0.85,+0.30,32.0,49.1,-17.2,-0.58,-0.01,Matches
47,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,28,1990,34,3060,90,89.5,34.0,34,90,0,,2,1.65,44,38,+6,+0.18,+1.43,46.8,33.8,+13.0,+0.38,+0.99,Matches
48,Josh Benson\Josh-Benson,eng ENG,MF,Burnley,18,1999,0,,,,,0,,0,,1,,,,,,,,,,,,Matches
49,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,27,1990,16,813,51,23.8,9.0,9,80,7,14,4,1.25,11,13,-2,-0.22,-0.22,13.1,13.5,-0.4,-0.04,-0.15,Matches
50,JÃ³hann Berg GuÃ°mundsson\Johann-Berg-Gudmundsson,is ISL,MFFW,Burnley,27,1990,29,1749,60,51.1,19.4,19,82,10,19,2,1.00,24,39,-15,-0.77,-0.34,22.7,34.8,-12.1,-0.62,-0.11,Matches
51,Bernard\Bernard,br BRA,FWMF,Everton,25,1992,34,2128,63,62.2,23.6,25,78,9,21,1,1.44,29,19,+10,+0.42,+0.56,28.1,24.2,+3.9,+0.17,+0.23,Matches
52,Bernardo\Bernardo,br BRA,DF,Brighton,23,1995,22,1750,80,51.2,19.4,19,89,3,19,12,1.09,17,29,-12,-0.62,+0.08,16.4,23.1,-6.7,-0.35,+0.39,Matches
53,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,28,1989,24,2160,90,63.2,24.0,24,90,0,,1,0.96,26,42,-16,-0.67,-0.38,29.8,34.2,-4.3,-0.18,+0.20,Matches
54,Marcus Bettinelli\Marcus-Bettinelli,eng ENG,GK,Fulham,26,1992,7,630,90,18.4,7.0,7,90,0,,15,0.71,10,20,-10,-1.43,-0.24,8.1,16.3,-8.2,-1.18,-0.61,Matches
