Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches
577,Kieran Trippier\Kieran-Trippier,eng ENG,DFMF,Burnley,23,1990,38,3415,90,99.9,37.9,38,,0,,0,0.87,27,53,-26,-0.69,-18.69,Matches
578,Leonardo Ulloa\Leonardo-Ulloa,ar ARG,FW,Leicester City,28,1986,37,2398,65,70.1,26.6,29,,8,,1,1.08,34,38,-4,-0.15,+0.29,Matches
579,Fredrik Ulvestad\Fredrik-Ulvestad,no NOR,DFMF,Burnley,22,1992,2,67,34,2.0,0.7,1,,1,,4,2.00,1,0,+1,+1.34,+2.04,Matches
580,Matthew Upson\Matthew-Upson,eng ENG,DF,Leicester City,35,1979,5,373,75,10.9,4.1,5,,0,,2,0.40,3,8,-5,-1.21,-1.09,Matches
581,VÃ­ctor ValdÃ©s\Victor-Valdes,es ESP,GK,Manchester Utd,32,1982,2,107,54,3.1,1.2,1,,1,,13,1.00,0,1,-1,-0.84,-1.55,Matches
582,Antonio Valencia\Antonio-Valencia,ec ECU,DFMF,Manchester Utd,28,1985,32,2580,81,75.4,28.7,29,,3,,2,2.00,44,21,+23,+0.80,+0.59,Matches
583,Enner Valencia\Enner-Valencia,ec ECU,FWMF,West Ham,24,1989,32,2101,66,61.4,23.3,25,,7,,1,1.19,25,24,+1,+0.04,+0.32,Matches
584,Jamie Vardy\Jamie-Vardy,eng ENG,FW,Leicester City,27,1987,34,2241,66,65.5,24.9,26,,8,,0,1.09,36,40,-4,-0.16,+0.22,Matches
585,Silvestre Varela\Silvestre-Varela,pt POR,FWMF,West Brom,29,1985,7,336,48,9.8,3.7,3,,4,,0,0.71,3,7,-4,-1.07,-0.81,Matches
586,Eduardo Vargas\Eduardo-Vargas,cl CHI,FWMF,QPR,24,1989,21,1382,66,40.4,15.4,16,,5,,4,0.90,23,31,-8,-0.52,+0.49,Matches
587,Ricardo Vaz TÃª\Ricardo-Vaz-Te,pt POR,FWMF,West Ham,27,1986,4,223,56,6.5,2.5,3,,1,,7,0.75,4,2,+2,+0.81,+0.95,Matches
588,Santiago Vergini\Santiago-Vergini,ar ARG,DF,Sunderland,25,1988,31,2620,85,76.6,29.1,28,,3,,6,1.00,23,40,-17,-0.58,-0.02,Matches
589,Marnick Vermijl\Marnick-Vermijl,be BEL,DF,Manchester Utd,22,1992,0,,,,,0,,0,,1,,,,,,,Matches
590,Jan Vertonghen\Jan-Vertonghen,be BEL,DF,Tottenham,27,1987,32,2811,88,82.2,31.2,31,,1,,2,1.84,53,44,+9,+0.29,+0.88,Matches
591,Ron Vlaar\Ron-Vlaar,nl NED,DF,Aston Villa,29,1985,20,1647,82,48.2,18.3,19,,1,,3,1.05,17,26,-9,-0.49,+0.37,Matches
