TeamEGoals,AllowedEGoals,TeamPressure,AllowedPressure,matchtime,matchday,PG,HA,TeamShots,AllowedShots,TeamFouls,AllowedFouls,TeamCorners,AllowedCorners,TeamYellow,TeamRed,AllowedYellow,DifShots,DifFouls,DifCorners,DifYellow,DifRed,DifPressure,DifEGoals,AllowedRed,matchdayaux
3.6782701,1.84838,8.8000002,6.0416665,15,Sat,3,0,0.54545456,0.23809524,17,14,6,10,3,0,1,0.30735934,3,-4,2,0,2.7583337,1.8298901,0,3
1.44318,0.353724,19.375,6.7272725,15,Sat,1,1,0.25,0.33333334,7,6,7,7,0,0,2,-0.083333343,1,0,-2,0,12.647728,1.089456,0,3
0.0982107,3.7486701,9.25,7.78125,15,Sat,0,0,0.5,0.44444445,17,9,6,4,4,0,1,0.055555552,8,2,3,0,1.46875,-3.6504593,0,3
1.30723,0.55891198,7.8000002,19.5,15,Sat,0,0,0.18181819,0.33333334,12,5,9,7,1,1,2,-0.15151516,7,2,-1,1,-11.7,0.74831802,0,3
2.0682001,1.23577,20.071428,14.789474,17,Sat,3,0,0.5714286,0.44444445,7,11,2,2,2,0,3,0.12698415,-4,0,-1,0,5.2819548,0.83243012,0,3
1.61884,1.1882499,4.1153846,19.6875,14,Sun,0,1,0.11111111,0.2857143,11,14,9,1,5,0,2,-0.17460319,-3,8,3,0,-15.572115,0.43059003,0,4
1.2410901,0.68396699,7.0285716,10.217391,14,Sun,3,1,0.16666667,0.2,12,6,14,5,1,0,2,-0.033333331,6,9,-1,0,-3.1888194,0.55712306,0,4
1.27044,2.15201,10.884615,11.105263,14,Sun,0,1,0.30000001,0.53846157,8,15,3,4,0,0,1,-0.23846155,-7,-1,-1,0,-0.22064781,-0.88156998,0,4
0.65029597,0.96920401,28.454546,6.818182,16,Sun,3,1,0.16666667,0.25,12,10,4,6,3,0,3,-0.083333328,2,-2,0,0,21.636364,-0.31890804,0,4
0.45911199,2.2332399,10.052631,5.71875,12,Sat,0,0,0.5,0.52631581,15,15,2,11,2,0,2,-0.026315808,0,-9,0,0,4.3338814,-1.774128,0,3
2.3006799,0.197082,4.652174,23.5,15,Sat,3,1,0.5,0,9,12,11,0,2,0,1,0.5,-3,11,1,0,-18.847826,2.1035979,0,3
0.84685099,0.891617,18.894737,7.4347825,15,Sat,1,0,0.2857143,0.16666667,9,5,2,11,3,0,4,0.11904763,4,-9,-1,-1,11.459955,-0.044766009,1,3
1.32184,2.9669199,9.5238094,15.055555,15,Sat,0,0,0.25,0.33333334,17,9,5,7,2,1,1,-0.083333343,8,-2,1,1,-5.5317459,-1.6450799,0,3
0.82910001,1.7956899,7.5999999,15.2,15,Sat,3,1,0.15789473,0.30769232,4,10,9,4,0,0,3,-0.14979759,-6,5,-3,0,-7.5999999,-0.96658993,0,3
0.67555398,0.40287301,12.7,11.833333,15,Sat,1,1,0.18181819,0.1,8,11,6,7,1,0,3,0.081818186,-3,-1,-2,0,0.86666679,0.27268097,0,3
0.88749498,1.37695,14.666667,12.041667,15,Sat,1,1,0.25,0.35714287,10,17,1,3,3,0,2,-0.10714287,-7,-2,1,0,2.625,-0.48945504,0,3
4.02104,0.61686403,6.7368422,18.578947,17,Sat,3,0,0.47619048,0.2857143,10,8,8,1,1,0,1,0.19047618,2,7,0,0,-11.842105,3.404176,0,3
1.03212,0.79186201,5.1724138,31.5,16,Sun,1,0,0.40000001,0.2857143,14,6,1,3,1,0,0,0.11428571,8,-2,1,0,-26.327587,0.24025798,0,4
0.89572197,0.94973499,12.214286,5.9444447,20,Mon,3,1,0.25,0.33333334,10,12,7,12,4,0,4,-0.083333343,-2,-5,0,-1,6.2698412,-0.054013014,1,2
4.3804598,0.45733401,3.1891892,17.047619,20,Fri,3,0,0.60000002,0.5,12,3,7,2,0,0,0,0.10000002,9,5,0,0,-13.85843,3.9231257,0,1
0.98014498,3.1900401,26.700001,8.083333,12,Sat,0,0,0.45454547,0.36000001,5,10,7,13,1,0,1,0.094545454,-5,-6,0,0,18.616669,-2.2098951,0,3
1.15279,1.04723,8.4642859,11.678572,15,Sat,3,1,0.5,0.60000002,12,12,0,5,2,0,1,-0.10000002,0,-5,1,0,-3.2142859,0.10555995,0,3
1.16171,2.3389101,14.428572,10.125,15,Sat,1,0,0.40000001,0.33333334,10,7,4,10,2,0,2,0.066666663,3,-6,0,0,4.3035717,-1.1772001,0,3
0.899526,0.67490298,9.3684206,13.153846,15,Sat,1,0,0.33333334,0.42857143,8,14,10,5,3,0,5,-0.09523809,-6,5,-2,-1,-3.7854252,0.22462302,1,3
0.98832101,2.2349401,10.473684,15.96,17,Sat,3,0,0.4375,0.38461539,8,7,6,5,2,0,3,0.052884609,1,1,-1,0,-5.4863157,-1.246619,0,3
1.93255,0.603104,9.6000004,38.625,14,Sun,1,0,0.38461539,0.15384616,15,8,6,3,2,0,2,0.23076923,7,3,0,0,-29.025,1.329446,0,4
1.3514301,2.1885099,32.299999,5.0689654,16,Sun,0,0,0.36363637,0.61904764,11,9,3,8,3,0,3,-0.25541127,2,-5,0,0,27.231033,-0.83707988,0,4
1.7789201,1.54014,26.299999,7.6666665,16,Sun,1,0,0.40000001,0.40000001,9,18,5,12,0,0,2,0,-9,-7,-2,0,18.633333,0.23878002,0,4
4.51232,0.89240003,9.5,8.6538458,16,Sun,3,0,0.52380955,0.30000001,10,13,10,1,2,0,2,0.22380954,-3,9,0,0,0.84615421,3.61992,0,4
0.64112902,1.86862,8.5,8.2592592,12,Sat,0,0,0.26666668,0.5,12,14,10,4,3,0,4,-0.23333332,-2,6,-1,-1,0.24074078,-1.227491,1,3
